,count,mean,std,min,25%,50%,75%,max,num_nan,num_distinct
SWALLOW_STUDY_b'No',9275.0,0.786199460916442,0.4100097479599101,0.0,1.0,1.0,1.0,1.0,0,2
"SWALLOW_STUDY_b'Yes, routine'",9275.0,0.1932075471698113,0.39483566074276305,0.0,0.0,0.0,0.0,1.0,0,2
"SWALLOW_STUDY_b'Yes, selective'",9275.0,0.020592991913746632,0.1420249815312839,0.0,0.0,0.0,0.0,1.0,0,2
ASACLASS_b'1-No Disturb',9275.0,0.0024797843665768193,0.0497383329437726,0.0,0.0,0.0,0.0,1.0,0,2
ASACLASS_b'2-Mild Disturb',9275.0,0.11644204851752021,0.3207715567027346,0.0,0.0,0.0,0.0,1.0,0,2
ASACLASS_b'3-Severe Disturb',9275.0,0.8239353099730459,0.38089573004836874,0.0,1.0,1.0,1.0,1.0,0,2
ASACLASS_b'4-Life Threat',9275.0,0.05714285714285714,0.23212789696016214,0.0,0.0,0.0,0.0,1.0,0,2
ASACLASS_b'5-Moribund',9275.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2
REOP30_b'Yes',9275.0,0.03234501347708895,0.17692424502956142,0.0,0.0,0.0,0.0,1.0,0,2
READ30_b'Yes',9275.0,0.06673854447439354,0.24958210510992881,0.0,0.0,0.0,0.0,1.0,0,2
INTV30_b'Yes',9275.0,0.025336927223719677,0.15715479680825756,0.0,0.0,0.0,0.0,1.0,0,2
DEATH_1.0,9275.0,0.00043126684636118597,0.020763606093360996,0.0,0.0,0.0,0.0,1.0,0,2
diff_BMI,9275.0,2.7131827493261524,2.3471414493159166,-24.89999999999999,1.6799999999999997,2.6399999999999935,3.6599999999999966,61.809999999999995,0,6604
