,count,mean,std,min,25%,50%,75%,max,num_nan,num_distinct
DIALYSIS_b'Yes',495917.0,0.0036659360336507925,0.06043595214618613,0.0,0.0,0.0,0.0,1.0,0,2
RENAL_INSUFFICIENCY_b'Yes',495917.0,0.0062389472431878725,0.07874030278497779,0.0,0.0,0.0,0.0,1.0,0,2
THERAPEUTIC_ANTICOAGULATION_b'Yes',495917.0,0.027911928810667914,0.16472069619015658,0.0,0.0,0.0,0.0,1.0,0,2
PREVIOUS_SURGERY_b'Yes',495917.0,0.05221034971577905,0.22245118314502238,0.0,0.0,0.0,0.0,1.0,0,2
DIABETES_b'Insulin',495917.0,0.062218072782340594,0.24155144763992376,0.0,0.0,0.0,0.0,1.0,0,2
DIABETES_b'No',495917.0,0.7776966710155127,0.41579430915278526,0.0,1.0,1.0,1.0,1.0,0,2
DIABETES_b'Non-Insulin',495917.0,0.16008525620214673,0.3666854756857888,0.0,0.0,0.0,0.0,1.0,0,2
SMOKER_b'Yes',495917.0,0.08623822131526042,0.2807157804596071,0.0,0.0,0.0,0.0,1.0,0,2
FUNSTATPRESURG_b'Independent',495917.0,0.9906718261321955,0.09613104428167339,0.0,1.0,1.0,1.0,1.0,0,2
FUNSTATPRESURG_b'Partially Dependent',495917.0,0.005926394941088932,0.07675470450506175,0.0,0.0,0.0,0.0,1.0,0,2
FUNSTATPRESURG_b'Totally Dependent',495917.0,0.003401778926715559,0.05822554132902709,0.0,0.0,0.0,0.0,1.0,0,2
COPD_b'Yes',495917.0,0.01530296400405713,0.12275509636105135,0.0,0.0,0.0,0.0,1.0,0,2
OXYGEN_DEPENDENT_b'Yes',495917.0,0.006442610356168472,0.08000697491825211,0.0,0.0,0.0,0.0,1.0,0,2
HISTORY_PE_b'Yes',495917.0,0.012252050242278446,0.11000891741341966,0.0,0.0,0.0,0.0,1.0,0,2
SLEEP_APNEA_b'Yes',495917.0,0.3628328934075662,0.4808176900305219,0.0,0.0,0.0,1.0,1.0,0,2
CHRONIC_STEROIDS_b'Yes',495917.0,0.018517211549513326,0.13481231796043763,0.0,0.0,0.0,0.0,1.0,0,2
IVC_FILTER_b'Yes',495917.0,0.005962691337461712,0.07698798348713273,0.0,0.0,0.0,0.0,1.0,0,2
SWALLOW_STUDY_b'No',495917.0,0.6619474629827169,0.4730470066140132,0.0,0.0,1.0,1.0,1.0,0,2
"SWALLOW_STUDY_b'Yes, routine'",495917.0,0.3289865037899487,0.46984553765891446,0.0,0.0,0.0,1.0,1.0,0,2
"SWALLOW_STUDY_b'Yes, selective'",495917.0,0.009066033227334413,0.09478321784217365,0.0,0.0,0.0,0.0,1.0,0,2
ASACLASS_b'1-No Disturb',495917.0,0.0034622729206701926,0.05873919087153786,0.0,0.0,0.0,0.0,1.0,0,2
ASACLASS_b'2-Mild Disturb',495917.0,0.2185990800879986,0.41329634248732755,0.0,0.0,0.0,0.0,1.0,0,2
ASACLASS_b'3-Severe Disturb',495917.0,0.7439369894558968,0.43645747708518357,0.0,0.0,1.0,1.0,1.0,0,2
ASACLASS_b'4-Life Threat',495917.0,0.03391494947743272,0.18101047413995586,0.0,0.0,0.0,0.0,1.0,0,2
ASACLASS_b'5-Moribund',495917.0,8.670805800164141e-05,0.009311321847290025,0.0,0.0,0.0,0.0,1.0,0,2
REOP30_b'Yes',495917.0,0.007795659354287108,0.08794829530237339,0.0,0.0,0.0,0.0,1.0,0,2
READ30_b'Yes',495917.0,0.028783042323614637,0.16719639699450142,0.0,0.0,0.0,0.0,1.0,0,2
INTV30_b'Yes',495917.0,0.007815824018938653,0.0880610728477111,0.0,0.0,0.0,0.0,1.0,0,2
DEATH_1.0,495917.0,0.00012300445437442151,0.011090066378686243,0.0,0.0,0.0,0.0,1.0,0,2
diff_BMI,495917.0,2.498486581423735,2.284348747087248,-49.32,1.6000000000000014,2.3599999999999994,3.229999999999997,71.46000000000001,0,6604
